Company Name,Company Ticker,Date,Date Type,Time,Type,Period,Domestic Call Num,Domestic Call Pin,Domestic Replay Num,Domestic Replay Pin,International Call Num,International Call Pin,International Replay Num,International Replay Pin,Actual,Actual Source,Estimate,Surprise,Guidance,Event Description,WebUrl,WebUrl Pin,Presentation,Presentation Pin,Press Release Url,Press Release Pin,City,State,Country
United Technologies Corp,UTX US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,1.732,,,Q2 2015 Earnings Release,,,,,,,,,
Electronic Arts Inc,EA US,7/22/2015,E,,ER,Q1 2016,,,,,,,,,,,0.033,,0,Q1 2016 Earnings Release,,,,,,,,,
QUALCOMM Inc,QCOM US,7/22/2015,C,,ER,Q3 2015,,,,,,,,,,,0.948,,0.925,Q3 2015 Earnings Release,,,,,,,,,
AutoNation Inc,AN US,7/22/2015,C,,ER,Q2 2015,888-769-8515,AutoNation,800-568-3942,75300,,,,,,,1.012,,,Q2 2015 Earnings Release,http://investors.autonation.com/phoenix.zhtml?c=85803&p=irol-irhome,,,,,,,,
Xilinx Inc,XLNX US,7/22/2015,E,,ER,Q1 2016,,,,,,,,,,,0.539,,,Q1 2016 Earnings Release,,,,,,,,,
Waters Corp,WAT US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,1.27,,1.25,Q2 2015 Earnings Release,,,,,,,,,
Amphenol Corp,APH US,7/22/2015,C,,ER,Q2 2015,888-395-9624,Reardon,866-479-2464,7183,517-623-4547,Reardon,203-369-1538,7183,,,0.576,,0.57,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/c37affei,,,,,,,,
Broadcom Corp,BRCM US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,0.752,,,Q2 2015 Earnings Release,,,,,,,,,
Juniper Networks Inc,JNPR US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,0.405,,0.4,Q2 2015 Earnings Release,,,,,,,,,
Discover Financial Services,DFS US,7/22/2015,E,,ER,Q2 2015,,,,,,,,,,,1.327,,,Q2 2015 Earnings Release,,,,,,,,,
Dow Chemical Co/The,DOW US,7/23/2015,C,Bef-mkt,ER,Q2 2015,719-325-2154,,(719) 457-0820,8237958,719-325-2154,,(719) 457-0820,8237958,,,0.772,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/4b943ccj/lan/en,,,,,,,,
EQT Corp,EQT US,7/23/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.091,,,Q2 2015 Earnings Release,,,,,,,,,
Kimberly-Clark Corp,KMB US,7/23/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,1.358,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/kh57pg84,,,,,,,,
Eli Lilly & Co,LLY US,7/23/2015,C,Bef-mkt,ER,Q2 2015,(612) 332-0107,363537,(800) 475-6701,363537,(612) 332-0107,363537,(320) 365-3844,363537,,,0.732,,,Q2 2015 Earnings Release,http://www.media-server.com/m/p/9aaimh8u,,,,,,,,
McDonald's Corp,MCD US,7/23/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,1.235,,,Q2 2015 Earnings Release,http://www.aboutmcdonalds.com/mcd/investors/webcasts_and_podcasts.html,,,,,,,,
PulteGroup Inc,PHM US,7/23/2015,C,Bef-mkt,ER,Q2 2015,(877) 375-9144,73625960,(855) 859-2056,73625960,,,,,,,0.262,,,Q2 2015 Earnings Release,http://www.pultegroupinc.com/investors/events-and-presentations/event-details/2015/Q2-2015-PulteGroup-Inc-Earnings-Conference-Call/default.aspx,,,,,,,,
Ryder System Inc,R US,7/23/2015,C,Bef-mkt,ER,Q2 2015,888-398-5319,Ryder,800-879-5513,,773-681-5795,Ryder,402-220-4734,,,,1.617,,1.605,Q2 2015 Earnings Release,http://investors.ryder.com/,,,,,,,,
Union Pacific Corp,UNP US,7/23/2015,C,Bef-mkt,ER,Q2 2015,877407-8293,,,,201689-8349,,,,,,1.404,,,Q2 2015 Earnings Release,http://78449.choruscall.com/dataconf/productusers/unp/mediaframe/11981/indexr.html,,,,,,,,
Huntington Bancshares Inc/OH,HBAN US,7/23/2015,C,Bef-mkt,ER,Q2 2015,(844) 318-8148,11113310,(855) 859-2056,11113310,,,(404) 537-3406,11113310,,,0.206,,,Q2 2015 Earnings Release,http://www.investquest.com/iq/h/hban/,,,,,,,,
Waste Management Inc,WM US,7/23/2015,C,Bef-mkt,ER,Q2 2015,877-710-6139,64809894,855-859-2056,64809894,706-643-7398,64809894,404-537-3406,64809894,,,0.629,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/nzi9ghp2/lan/en,,,,,,,,
Macerich Co/The,MAC US,7/23/2015,C,Bef-mkt,ER,Q2 2015,888-438-5448,8087018,877-870-5176,8087018,719-457-1035,8087018,858-384-5517,8087018,,,0.93,,,Q2 2015 Earnings Release,http://www.macerich.com/investing/investing.aspx?v=calendar,,,,,,,,
Cameron International Corp,CAM US,7/23/2015,C,Bef-mkt,ER,Q2 2015,201-689-8261,,201-612-7415,13608857,201-689-8261,,201-612-7415,13608857,,,0.762,,,Q2 2015 Earnings Release,http://investors.c-a-m.com/index.php?s=19#past:2015:5,,,,,,,,
Quest Diagnostics Inc,DGX US,7/23/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,1.239,,,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=82068&p=irol-EventDetails&EventId=5195534,,,,,,,,
Alliance Data Systems Corp,ADS US,7/23/2015,C,Bef-mkt,ER,Q2 2015,(888) 603-6873,75492204,(855) 859-2056,75492204,(973) 582-2706,75492204,(404) 537-3406,75492204,,,3.232,,3.2,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/fq2z78ib/lan/en,,,,,,,,
Mead Johnson Nutrition Co,MJN US,7/23/2015,C,Bef-mkt,ER,Q2 2015,(877) 359-9508,Mead Johnson,(855) 859-2056,72439803,224-357-2393,Mead Johnson,404-537-3406,72439803,,,0.89,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/fugw9jk6/lan/en,,,,,,,,
Dr Pepper Snapple Group Inc,DPS US,7/23/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,1.092,,,Q2 2015 Earnings Release,http://investor.drpeppersnapplegroup.com/events-and-presentations#past:2015:7,,,,,,,,
General Motors Co,GM US,7/23/2015,C,Bef-mkt,ER,Q2 2015,888-808-8618,GM Earnings Call,855-859-2056,71462726,949-484-0645,GM Earnings Call,404-537-3406,71462726,,,1.109,,,Q2 2015 Earnings Release,http://www.gm.com/company/investors.html,,,,,,,,
Danaher Corp,DHR US,7/23/2015,C,6:00,ER,Q2 2015,888-632-5017,1995288,888-203-1112,1995288,913-981-5581,1995288,719-457-0820,1995288,,,1.04,,1.03,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=82105&p=irol-irhome,,,,,,,,
NASDAQ OMX Group Inc/The,NDAQ US,7/23/2015,C,7:00,ER,Q2 2015,866.302.4765,,855.859.2056,78715641,419.386.0006,,404.537.3406,78715641,,,0.782,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/9p23rvt3,,,,,,,,
Under Armour Inc,UA US,7/23/2015,C,7:15,ER,Q2 2015,877.353.0039,,855.859.2056,79284636,678.224.7858,,404.537.3406,79284636,,,0.047,,,Q2 2015 Earnings Release,http://investor.underarmour.com/events.cfm,,,,,,,,
Stryker Corp,SYK US,7/23/2015,C,16:00,ER,Q2 2015,(866) 436-9172,38313498,(888) 843-7419,3831 3498 #,(630) 691-2760,38313498,(630) 652-3042,3831 3498 #,,,1.168,,1.175,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=118965&p=irol-calendar,,,,,,,,
Principal Financial Group Inc,PFG US,7/23/2015,C,16:00,ER,Q2 2015,866-427-0175,71099087,855-859-2056,71099087,706-643-7701,71099087,404-537-3406,71099087,,,1.056,,,Q2 2015 Earnings Release,http://investors.principal.com/investor-relations/presentations/event-details/2015/2Q-2015-The-Principal-Financial-Group-Earnings-Conference-Call/default.aspx,,,,,,,,
VeriSign Inc,VRSN US,7/23/2015,C,16:05,ER,Q2 2015,(888) 676 8776,Verisign,,,(913) 312-1233,Verisign,,,,,0.737,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/jfez38r4,,,,,,,,
Altera Corp,ALTR US,7/23/2015,C,16:15,ER,Q2 2015,,,,,,,,,,,0.252,,,Q2 2015 Earnings Release,,,,,,,,,
CR Bard Inc,BCR US,7/23/2015,C,Aft-mkt,ER,Q2 2015,(800) 288-9626,,,,(612) 332-0530,,,,,,2.175,,2.17,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/9jacnwaz/lan/en,,,,,,,,
Chubb Corp/The,CB US,7/23/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,1.853,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/do2vx9kw,,,,,,,,
Starbucks Corp,SBUX US,7/23/2015,C,Aft-mkt,ER,Q3 2015,,,,,,,,,,,0.408,,0.405,Q3 2015 Earnings Release,http://investor.starbucks.com/phoenix.zhtml?c=99518&p=irol-EventDetails&EventId=5173988,,,,,,,,
Capital One Financial Corp,COF US,7/23/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,1.966,,,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=70667&p=irol-irhome,,,,,,,,
TripAdvisor Inc,TRIP US,7/23/2015,C,Aft-mkt,ER,Q2 2015,(877) 224-9081,,(855) 859-2056,56814001,(224) 357-2223,,(404) 537-3406,56814001,,,0.547,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/n5n4htkh,,,,,,,,
Visa Inc,V US,7/23/2015,C,Aft-mkt,ER,Q3 2015,888-790-4410,7974435,800-583-8095,,773-756-0127,7974435,,,,,0.584,,,Q3 2015 Earnings Release,https://event.on24.com/eventRegistration/EventLobbyServlet?target=registration.jsp&eventid=1021078&sessionid=1&key=541BD085791E3F19F5357D2947DE9A5E&sourcepage=register,,,,,,,,
Boston Scientific Corp,BSX US,7/23/2015,C,,ER,Q2 2015,,,,,,,,,,,0.214,,0.21,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/mgtimbw6/lan/en,,,,,,,,
Bristol-Myers Squibb Co,BMY US,7/23/2015,C,,ER,Q2 2015,877-201-0168,23534784,855-859-2056,23534784,647-788-4901,23534784,404-537-3406,23534784,,,0.351,,,Q2 2015 Earnings Release,http://investor.bms.com/investors/default.aspx,,,,,,,,
Caterpillar Inc,CAT US,7/23/2015,C,,ER,Q2 2015,,,,,,,,,,,1.255,,,Q2 2015 Earnings Release,,,,,,,,,
CA Inc,CA US,7/23/2015,E,,ER,Q1 2016,,,,,,,,,,,0.615,,,Q1 2016 Earnings Release,,,,,,,,,
Equifax Inc,EFX US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,1.104,,1.1,Q2 2015 Earnings Release,,,,,,,,,
Freeport-McMoRan Inc,FCX US,7/23/2015,C,,ER,Q2 2015,800-403-5770,73533094,,,706-679-8487,73533094,,,,,0.111,,,Q2 2015 Earnings Release,,,,,,,,,
General Dynamics Corp,GD US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,2.042,,,Q2 2015 Earnings Release,,,,,,,,,
3M Co,MMM US,7/23/2015,C,,ER,Q2 2015,(800) 762-2596,,,,(212) 231-2916,,,,,,2,,,Q2 2015 Earnings Release,http://investors.3m.com/overview/default.aspx,,,,,,,,
Northrop Grumman Corp,NOC US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,2.354,,,Q2 2015 Earnings Release,,,,,,,,,
Raytheon Co,RTN US,7/23/2015,C,,ER,Q2 2015,,,,,,,,,,,1.636,,,Q2 2015 Earnings Release,,,,,,,,,
Southwest Airlines Co,LUV US,7/23/2015,T,,ER,Q2 2015,,,,,,,,,,,1.017,,,Q2 2015 Earnings Release,http://southwest.investorroom.com/index.php?s=19&item=78,,,,,,,,
AT&T Inc,T US,7/23/2015,C,,ER,Q2 2015,866-232-4457,,,,612-332-1213,,,,,,0.633,,,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=113088&p=irol-calendar,,,,,,,,
Torchmark Corp,TMK US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,1.064,,,Q2 2015 Earnings Release,,,,,,,,,
Whirlpool Corp,WHR US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,2.639,,,Q2 2015 Earnings Release,,,,,,,,,
Comcast Corp,CMCSA US,7/23/2015,C,,ER,Q2 2015,(800) 263-8495,60425188,(855) 859-2056,60425188,,,,,,,0.843,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/v6w7e5pn,,,,,,,,
Flowserve Corp,FLS US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,0.808,,,Q2 2015 Earnings Release,,,,,,,,,
Biogen Inc,BIIB US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,4.058,,,Q2 2015 Earnings Release,,,,,,,,,
T Rowe Price Group Inc,TROW US,7/23/2015,C,,ER,Q2 2015,,,,,,,,,,,1.206,,,Q2 2015 Earnings Release,,,,,,,,,
Citrix Systems Inc,CTXS US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,0.821,,0.815,Q2 2015 Earnings Release,,,,,,,,,
Stericycle Inc,SRCL US,7/23/2015,C,,ER,Q2 2015,866-516-6872,,855-859-2056,# 39409776,,,404-537-3406,# 39409776,,,1.141,,,Q2 2015 Earnings Release,http://www.media-server.com/m/acs/01dfdc474d5c3794375901fabf18359f,,,,,,,,
E*TRADE Financial Corp,ETFC US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,0.277,,,Q2 2015 Earnings Release,,,,,,,,,
SL Green Realty Corp,SLG US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,1.559,,,Q2 2015 Earnings Release,,,,,,,,,
Crown Castle International Corp,CCI US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,1.141,,,Q2 2015 Earnings Release,,,,,,,,,
Republic Services Inc,RSG US,7/23/2015,C,,ER,Q2 2015,800-369-3117,Republic Services,866-443-4169,,210-234-0084,Republic Services,203-369-1117,,,,0.51,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/hm5pqbxv/lan/en,,,,,,,,
Hudson City Bancorp Inc,HCBK US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,0.005,,,Q2 2015 Earnings Release,,,,,,,,,
Assurant Inc,AIZ US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,1.34,,,Q2 2015 Earnings Release,,,,,,,,,
Hanesbrands Inc,HBI US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,0.5,,,Q2 2015 Earnings Release,,,,,,,,,
Delta Air Lines Inc,DAL US,7/23/2015,E,,ER,Q2 2015,,,,,,,,,,,1.22,,,Q2 2015 Earnings Release,,,,,,,,,
TE Connectivity Ltd,TEL US,7/23/2015,E,,ER,Q3 2015,,,,,,,,,,,0.881,,0.87,Q3 2015 Earnings Release,,,,,,,,,
Cabot Oil & Gas Corp,COG US,7/24/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,0.039,,,Q2 2015 Earnings Release,https://www.webcaster4.com/Webcast/Page/975/9270,,,,,,,,
Ventas Inc,VTR US,7/24/2015,C,Bef-mkt,ER,Q2 2015,(877) 474-9505,Ventas,(888) 286-8010,84642312,(857) 244-7558,Ventas,(617) 801-6888,84642312,,,1.155,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/hoc3uawp/lan/en,,,,,,,,
Simon Property Group Inc,SPG US,7/24/2015,C,Bef-mkt,ER,Q2 2015,800-237-9752,30453698,888-286-8010,52068250,617-847-8706,30453698,617-801-6888,52068250,,,2.346,,,Q2 2015 Earnings Release,http://investors.simon.com/phoenix.zhtml?c=113968&p=irol-IRHome,,,,,,,,
Moody's Corp,MCO US,7/24/2015,C,Bef-mkt,ER,Q2 2015,877-400-0505,Moody’s Corporati,888-203-1112,2759861,719-234-7477,Moody’s Corporati,719-457-0820,2759861,,,1.216,,,Q2 2015 Earnings Release,http://ir.moodys.com/CorporateProfile.aspx?iid=108462,,,,,,,,
AbbVie Inc,ABBV US,7/24/2015,C,Bef-mkt,ER,Q2 2015,,,,,,,,,,,1.055,,1.05,Q2 2015 Earnings Release,http://www.abbvieinvestor.com/phoenix.zhtml?c=251551&p=irol-calendar,,,,,,,,
Rockwell Collins Inc,COL US,7/24/2015,C,7:30,ER,Q3 2015,,,,,,,,,,,1.3,,,Q3 2015 Earnings Release,http://investor.rockwellcollins.com/investor-relations/events-and-presentations/default.aspx,,,,,,,,
American Electric Power Co Inc,AEP US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,0.788,,,Q2 2015 Earnings Release,,,,,,,,,
American Airlines Group Inc,AAL US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,2.64,,,Q2 2015 Earnings Release,,,,,,,,,
Aon PLC,AON US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,1.292,,,Q2 2015 Earnings Release,,,,,,,,,
Avery Dennison Corp,AVY US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,0.876,,,Q2 2015 Earnings Release,,,,,,,,,
CMS Energy Corp,CMS US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,0.345,,,Q2 2015 Earnings Release,,,,,,,,,
Hershey Co/The,HSY US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,0.749,,,Q2 2015 Earnings Release,,,,,,,,,
Nucor Corp,NUE US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,0.271,,,Q2 2015 Earnings Release,,,,,,,,,
Precision Castparts Corp,PCP US,7/24/2015,E,,ER,Q1 2016,,,,,,,,,,,3.038,,,Q1 2016 Earnings Release,,,,,,,,,
Universal Health Services Inc,UHS US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,1.625,,,Q2 2015 Earnings Release,,,,,,,,,
Xerox Corp,XRX US,7/24/2015,T,,ER,Q2 2015,,,,,,,,,,,0.223,,0.22,Q2 2015 Earnings Release,http://www.media-server.com/m/acs/929f24800f8947dc2ef346885d8c2ac9,,,,,,,,
Sigma-Aldrich Corp,SIAL US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,1.103,,,Q2 2015 Earnings Release,,,,,,,,,
Celgene Corp,CELG US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,1.132,,,Q2 2015 Earnings Release,,,,,,,,,
Cerner Corp,CERN US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,0.516,,0.515,Q2 2015 Earnings Release,,,,,,,,,
State Street Corp,STT US,7/24/2015,C,,ER,Q2 2015,(877) 423-4013,62839662,(855) 859-2056,62839662,(706) 679-5594,62839662,(404) 537-3406,62839662,,,1.366,,,Q2 2015 Earnings Release,http://investors.statestreet.com/,,,,,,,,
Royal Caribbean Cruises Ltd,RCL US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,0.72,,0.7,Q2 2015 Earnings Release,,,,,,,,,
FLIR Systems Inc,FLIR US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,0.372,,,Q2 2015 Earnings Release,,,,,,,,,
AmerisourceBergen Corp,ABC US,7/24/2015,E,,ER,Q3 2015,,,,,,,,,,,1.146,,,Q3 2015 Earnings Release,,,,,,,,,
Alexion Pharmaceuticals Inc,ALXN US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,1.387,,,Q2 2015 Earnings Release,,,,,,,,,
Amazon.com Inc,AMZN US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,-0.161,,,Q2 2015 Earnings Release,,,,,,,,,
DTE Energy Co,DTE US,7/24/2015,E,,ER,Q2 2015,,,,,,,,,,,0.818,,,Q2 2015 Earnings Release,,,,,,,,,
Norfolk Southern Corp,NSC US,7/27/2015,C,8:45,ER,Q2 2015,877-869-3847,,877-660-6853,13605133,,,,,,,1.482,,,Q2 2015 Earnings Release,http://www.nscorp.com/content/nscorp/en/get-to-know-norfolk-southern/investor-relations/events.html,,,,,,,,
Plum Creek Timber Co Inc,PCL US,7/27/2015,C,Aft-mkt,ER,Q2 2015,800-572-9852,,855-859-2056,50834509,706-645-9676,,404-537-3406,50834509,,,0.088,,0.075,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/p3b2eg4t/lan/en,,,,,,,,
Southwestern Energy Co,SWN US,7/27/2015,C,Aft-mkt,ER,Q2 2015,(877) 407-8035,,,,(201) 689-8035,,,,,,0.075,,,Q2 2015 Earnings Release,http://www.swn.com/investors/pages/eventspresentations.aspx,,,,,,,,
AvalonBay Communities Inc,AVB US,7/27/2015,C,Aft-mkt,ER,Q2 2015,(888) 221-3881,7798923,(888) 203-1112,7798923,(913) 312-0401,7798923,(719) 457-0820,7798923,,,1.892,,1.82,Q2 2015 Earnings Release,http://www.avalonbay.com/earnings,,,,,,,,
Hartford Financial Services Group Inc/The,HIG US,7/27/2015,C,Aft-mkt,ER,Q2 2015,,,,,,,,,,,0.787,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/2nyc4p6s/lan/en,,,,,,,,
Airgas Inc,ARG US,7/28/2015,C,Bef-mkt,ER,Q1 2016,888-551-9018,,888-203-1112,8117609,719-325-2349,,719-457-0820,8117609,,,1.157,,,Q1 2016 Earnings Release,http://edge.media-server.com/m/p/wcsn6ned,,,,,,,,
Corning Inc,GLW US,7/28/2015,C,Bef-mkt,ER,Q2 2015,(800) 230-1074,,(800) 475-6701,363576,(612) 234-9960,,(320) 365-3844,363576,,,0.372,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/cd6jbpuu,,,,,,,,
Ecolab Inc,ECL US,7/28/2015,C,Bef-mkt,ER,Q2 2015,888.787.0203,2nd Quarter,,,,,,,,,1.08,,1.08,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/zcfe3wxt,,,,,,,,
Marsh & McLennan Cos Inc,MMC US,7/28/2015,C,Bef-mkt,ER,Q2 2015,877 795 3647,1182028,,,719 325 4895,1182028,,,,,0.798,,,Q2 2015 Earnings Release,http://edge.media-server.com/m/p/dahnfebt/lan/en,,,,,,,,
Merck & Co Inc,MRK US,7/28/2015,C,Bef-mkt,ER,Q2 2015,(877) 381-5782,73597302,(800) 399-7917,73597302,(706) 758-9927,73597302,(706) 758-9928,73597302,,,0.799,,,Q2 2015 Earnings Release,http://www.media-server.com/m/acs/68f3602c4ddcfb63ac0b5d1f5955191d,,,,,,,,
Laboratory Corp of America Holdings,LH US,7/28/2015,C,Bef-mkt,ER,Q2 2015,877-809-9811,68073423,855-859-2056,68073423,330-863-3287,68073423,404-537-3406,68073423,,,2.032,,,Q2 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=84636&p=irol-presentations,,,,,,,,
Pfizer Inc,PFE US,7/28/2015,C,Bef-mkt,ER,Q2 2015,(888) 835-0567,Second Quarter Earn,,,(631) 485-4476,Second Quarter Earn,,,,,0.514,,,Q2 2015 Earnings Release,https://www.webcaster4.com/Webcast/Page/748/8979,,,,,,,,
PACCAR Inc,PCAR US,7/28/2015,C,Bef-mkt,ER,Q2 2015,(855) 331-9679,PACCAR,,,(678) 304-6889,PACCAR,,,,,1.154,,,Q2 2015 Earnings Release,,,,,,,,,
