Company Name,Company Ticker,Date,Date Type,Time,Type,Period,Domestic Call Num,Domestic Call Pin,Domestic Replay Num,Domestic Replay Pin,International Call Num,International Call Pin,International Replay Num,International Replay Pin,Actual,Actual Source,Estimate,Surprise,Guidance,Event Description,WebUrl,WebUrl Pin,Presentation,Presentation Pin,Press Release Url,Press Release Pin,City,State,Country
Cisco Systems Inc,CSCO US,8/13/2015,E,,ER,Q4 2015,,,,,,,,,,,0.559,,0.56,Q4 2015 Earnings Release,,,,,,,,,
Nordstrom Inc,JWN US,8/13/2015,C,,ER,Q2 2016,,,,,,,,,,,0.899,,,Q2 2016 Earnings Release,,,,,,,,,
Autodesk Inc,ADSK US,8/14/2015,E,,ER,Q2 2016,,,,,,,,,,,0.173,,0.165,Q2 2016 Earnings Release,,,,,,,,,
Perrigo Co PLC,PRGO US,8/14/2015,E,,ER,Q4 2015,,,,,,,,,,,1.993,,,Q4 2015 Earnings Release,,,,,,,,,
Agilent Technologies Inc,A US,8/14/2015,E,,ER,Q3 2015,,,,,,,,,,,0.408,,0.4,Q3 2015 Earnings Release,,,,,,,,,
Estee Lauder Cos Inc/The,EL US,8/17/2015,C,,ER,Q4 2015,,,,,,,,,,,0.344,,,Q4 2015 Earnings Release,,,,,,,,,
Home Depot Inc/The,HD US,8/18/2015,C,,ER,Q2 2016,,,,,,,,,,,1.706,,,Q2 2016 Earnings Release,,,,,,,,,
TJX Cos Inc/The,TJX US,8/18/2015,C,,ER,Q2 2016,,,,,,,,,,,0.755,,0.73,Q2 2016 Earnings Release,,,,,,,,,
Wal-Mart Stores Inc,WMT US,8/18/2015,C,,ER,Q2 2016,877-523-5612,9256278,,,201-689-8483,9256278,,,,,1.128,,1.12,Q2 2016 Earnings Release,,,,,,,,,
Urban Outfitters Inc,URBN US,8/18/2015,E,,ER,Q2 2016,,,,,,,,,,,0.489,,,Q2 2016 Earnings Release,,,,,,,,,
Lowe's Cos Inc,LOW US,8/19/2015,C,Bef-mkt,ER,Q2 2016,,,,,,,,,,,1.252,,,Q2 2016 Earnings Release,,,,,,,,,
L Brands Inc,LB US,8/19/2015,C,,ER,Q2 2016,866-363-4673,,855-859-2056,33156271,973-200-3978,,404-537-3406,33156271,,,0.674,,0.625,Q2 2016 Earnings Release,,,,,,,,,
Medtronic PLC,MDT US,8/19/2015,E,,ER,Q1 2016,,,,,,,,,,,1.009,,,Q1 2016 Earnings Release,,,,,,,,,
Staples Inc,SPLS US,8/19/2015,C,,ER,Q2 2016,,,,,,,,,,,0.118,,0.12,Q2 2016 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=96244&p=irol-EventDetails&EventId=5188271,,,,,,,,
Target Corp,TGT US,8/20/2015,E,,ER,Q2 2016,,,,,,,,,,,1.112,,1.09,Q2 2016 Earnings Release,,,,,,,,,
Gap Inc/The,GPS US,8/20/2015,C,,ER,Q2 2016,,,,,,,,,,,0.662,,,Q2 2016 Earnings Release,,,,,,,,,
Hewlett-Packard Co,HPQ US,8/20/2015,E,,ER,Q3 2015,,,,,,,,,,,0.858,,0.85,Q3 2015 Earnings Release,,,,,,,,,
JM Smucker Co/The,SJM US,8/20/2015,E,,ER,Q1 2016,,,,,,,,,,,1.254,,,Q1 2016 Earnings Release,,,,,,,,,
Ross Stores Inc,ROST US,8/20/2015,C,,ER,Q2 2016,,,,,,,,,,,0.613,,0.608,Q2 2016 Earnings Release,,,,,,,,,
Deere & Co,DE US,8/21/2015,C,Bef-mkt,ER,Q3 2015,,,,,,,,,,,1.424,,,Q3 2015 Earnings Release,,,,,,,,,
Hormel Foods Corp,HRL US,8/21/2015,E,,ER,Q3 2015,,,,,,,,,,,0.555,,,Q3 2015 Earnings Release,,,,,,,,,
Patterson Cos Inc,PDCO US,8/21/2015,E,,ER,Q1 2016,,,,,,,,,,,0.56,,,Q1 2016 Earnings Release,,,,,,,,,
Intuit Inc,INTU US,8/21/2015,E,,ER,Q4 2015,,,,,,,,,,,-0.116,,-0.11,Q4 2015 Earnings Release,,,,,,,,,
Dollar Tree Inc,DLTR US,8/21/2015,E,,ER,Q2 2016,,,,,,,,,,,0.681,,0.655,Q2 2016 Earnings Release,,,,,,,,,
Salesforce.com inc,CRM US,8/21/2015,E,,ER,Q2 2016,,,,,,,,,,,0.175,,0.175,Q2 2016 Earnings Release,,,,,,,,,
GameStop Corp,GME US,8/21/2015,E,,ER,Q2 2016,,,,,,,,,,,0.235,,0.23,Q2 2016 Earnings Release,,,,,,,,,
Analog Devices Inc,ADI US,8/26/2015,E,,ER,Q3 2015,,,,,,,,,,,0.749,,0.74,Q3 2015 Earnings Release,,,,,,,,,
Best Buy Co Inc,BBY US,8/26/2015,E,,ER,Q2 2016,,,,,,,,,,,0.343,,,Q2 2016 Earnings Release,,,,,,,,,
Brown-Forman Corp,BF/B US,8/27/2015,E,,ER,Q1 2016,,,,,,,,,,,0.743,,,Q1 2016 Earnings Release,,,,,,,,,
Tiffany & Co,TIF US,8/27/2015,C,,ER,Q2 2016,,,,,,,,,,,0.908,,,Q2 2016 Earnings Release,,,,,,,,,
Pall Corp,PLL US,8/28/2015,E,,ER,Q4 2015,,,,,,,,,,,1.098,,,Q4 2015 Earnings Release,,,,,,,,,
Avago Technologies Ltd,AVGO US,8/28/2015,E,,ER,Q3 2015,,,,,,,,,,,2.126,,,Q3 2015 Earnings Release,,,,,,,,,
Dollar General Corp,DG US,8/28/2015,E,,ER,Q2 2016,,,,,,,,,,,0.942,,,Q2 2016 Earnings Release,,,,,,,,,
H&R Block Inc,HRB US,9/3/2015,E,,ER,Q1 2016,,,,,,,,,,,-0.394,,,Q1 2016 Earnings Release,,,,,,,,,
Campbell Soup Co,CPB US,9/3/2015,C,,ER,Q4 2015,,,,,,,,,,,0.359,,,Q4 2015 Earnings Release,http://investor.campbellsoupcompany.com/phoenix.zhtml?c=88650&p=irol-EventDetails&EventId=5172768,,,,,,,,
PVH Corp,PVH US,9/3/2015,E,,ER,Q2 2016,,,,,,,,,,,1.287,,1.275,Q2 2016 Earnings Release,,,,,,,,,
Joy Global Inc,JOY US,9/4/2015,E,,ER,Q3 2015,,,,,,,,,,,0.629,,,Q3 2015 Earnings Release,,,,,,,,,
Kroger Co/The,KR US,9/11/2015,C,,ER,Q2 2016,,,,,,,,,,,0.792,,,Q2 2016 Earnings Release,,,,,,,,,
Darden Restaurants Inc,DRI US,9/11/2015,E,,ER,Q1 2016,,,,,,,,,,,0.568,,,Q1 2016 Earnings Release,,,,,,,,,
FedEx Corp,FDX US,9/16/2015,C,7:30,ER,Q1 2016,,,,,,,,,,,2.453,,,Q1 2016 Earnings Release,,,,,,,,,
General Mills Inc,GIS US,9/17/2015,E,,ER,Q1 2016,,,,,,,,,,,0.687,,,Q1 2016 Earnings Release,,,,,,,,,
Lennar Corp,LEN US,9/17/2015,E,,ER,Q3 2015,,,,,,,,,,,0.808,,,Q3 2015 Earnings Release,,,,,,,,,
Adobe Systems Inc,ADBE US,9/17/2015,C,,ER,Q3 2015,,,,,,,,,,,0.499,,0.48,Q3 2015 Earnings Release,,,,,,,,,
ConAgra Foods Inc,CAG US,9/18/2015,E,,ER,Q1 2016,,,,,,,,,,,0.398,,0.456,Q1 2016 Earnings Release,,,,,,,,,
Oracle Corp,ORCL US,9/18/2015,E,,ER,Q1 2016,,,,,,,,,,,0.529,,,Q1 2016 Earnings Release,,,,,,,,,
Red Hat Inc,RHT US,9/18/2015,E,,ER,Q2 2016,,,,,,,,,,,0.44,,0.44,Q2 2016 Earnings Release,,,,,,,,,
CarMax Inc,KMX US,9/22/2015,C,Bef-mkt,ER,Q2 2016,,,,,,,,,,,0.76,,,Q2 2016 Earnings Release,,,,,,,,,
AutoZone Inc,AZO US,9/22/2015,E,,ER,Q4 2015,,,,,,,,,,,12.69,,,Q4 2015 Earnings Release,,,,,,,,,
Carnival Corp,CCL US,9/23/2015,E,,ER,Q3 2015,,,,,,,,,,,1.634,,1.58,Q3 2015 Earnings Release,,,,,,,,,
Bed Bath & Beyond Inc,BBBY US,9/24/2015,C,Aft-mkt,ER,Q2 2016,,,,,,,,,,,1.214,,1.205,Q2 2016 Earnings Release,,,,,,,,,
Paychex Inc,PAYX US,9/24/2015,E,,ER,Q1 2016,,,,,,,,,,,0.51,,,Q1 2016 Earnings Release,,,,,,,,,
Accenture PLC,ACN US,9/24/2015,E,,ER,Q4 2015,,,,,,,,,,,1.12,,,Q4 2015 Earnings Release,,,,,,,,,
Micron Technology Inc,MU US,9/25/2015,E,,ER,Q4 2015,,,,,,,,,,,0.39,,,Q4 2015 Earnings Release,,,,,,,,,
NIKE Inc,NKE US,9/25/2015,E,,ER,Q1 2016,,,,,,,,,,,1.283,,,Q1 2016 Earnings Release,,,,,,,,,
Costco Wholesale Corp,COST US,9/30/2015,C,,ER,Q4 2015,,,,,,,,,,,1.662,,,Q4 2015 Earnings Release,,,,,,,,,
McCormick & Co Inc/MD,MKC US,10/2/2015,E,,ER,Q3 2015,,,,,,,,,,,0.881,,,Q3 2015 Earnings Release,,,,,,,,,
Constellation Brands Inc,STZ US,10/2/2015,E,,ER,Q2 2016,,,,,,,,,,,1.298,,,Q2 2016 Earnings Release,,,,,,,,,
Yum! Brands Inc,YUM US,10/6/2015,C,,ER,Q3 2015,,,,,,,,,,,1.09,,,Q3 2015 Earnings Release,,,,,,,,,
Monsanto Co,MON US,10/7/2015,C,,ER,Q4 2015,,,,,,,,,,,0.071,,0,Q4 2015 Earnings Release,http://www.monsanto.com/investors/pages/presentations.aspx,,,,,,,,
Alcoa Inc,AA US,10/8/2015,C,Aft-mkt,ER,Q3 2015,,,,,,,,,,,0.208,,,Q3 2015 Earnings Release,,,,,,,,,
Family Dollar Stores Inc,FDO US,10/9/2015,E,,ER,Q4 2015,,,,,,,,,,,0.711,,,Q4 2015 Earnings Release,,,,,,,,,
CSX Corp,CSX US,10/13/2015,C,Aft-mkt,ER,Q3 2015,,,,,,,,,,,0.533,,,Q3 2015 Earnings Release,http://investors.csx.com/phoenix.zhtml?c=92932&p=irol-EventDetails&EventId=5178596,,,,,,,,
JB Hunt Transport Services Inc,JBHT US,10/14/2015,C,,ER,Q3 2015,,,,,,,,,,,0.977,,,Q3 2015 Earnings Release,,,,,,,,,
Philip Morris International Inc,PM US,10/15/2015,C,,ER,Q3 2015,,,,,,,,,,,1.15,,,Q3 2015 Earnings Release,,,,,,,,,
WW Grainger Inc,GWW US,10/16/2015,C,7:30,ER,Q3 2015,,,,,,,,,,,3.349,,,Q3 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=76754&p=irol-EventDetails&EventId=5178621,,,,,,,,
Hasbro Inc,HAS US,10/19/2015,C,Bef-mkt,ER,Q3 2015,,,,,,,,,,,1.503,,,Q3 2015 Earnings Release,,,,,,,,,
International Business Machines Corp,IBM US,10/19/2015,C,16:30,ER,Q3 2015,,,,,,,,,,,3.707,,,Q3 2015 Earnings Release,,,,,,,,,
Travelers Cos Inc/The,TRV US,10/20/2015,C,6:57,ER,Q3 2015,,,,,,,,,,,2.097,,,Q3 2015 Earnings Release,,,,,,,,,
ACE Ltd,ACE US,10/20/2015,C,Aft-mkt,ER,Q3 2015,,,,,,,,,,,2.337,,,Q3 2015 Earnings Release,,,,,,,,,
Verizon Communications Inc,VZ US,10/20/2015,C,,ER,Q3 2015,,,,,,,,,,,0.997,,,Q3 2015 Earnings Release,,,,,,,,,
Kimberly-Clark Corp,KMB US,10/21/2015,C,Bef-mkt,ER,Q3 2015,,,,,,,,,,,1.528,,,Q3 2015 Earnings Release,http://edge.media-server.com/m/p/afrd4bv7,,,,,,,,
Tractor Supply Co,TSCO US,10/21/2015,C,Aft-mkt,ER,Q3 2015,,,,,,,,,,,0.628,,,Q3 2015 Earnings Release,,,,,,,,,
Texas Instruments Inc,TXN US,10/21/2015,T,,ER,Q3 2015,,,,,,,,,,,0.743,,,Q3 2015 Earnings Release,,,,,,,,,
Eli Lilly & Co,LLY US,10/22/2015,C,Bef-mkt,ER,Q3 2015,,,,,,,,,,,0.763,,,Q3 2015 Earnings Release,http://edge.media-server.com/m/p/qxpds96t,,,,,,,,
Principal Financial Group Inc,PFG US,10/22/2015,C,16:00,ER,Q3 2015,,,,,,,,,,,1.101,,,Q3 2015 Earnings Release,,,,,,,,,
Caterpillar Inc,CAT US,10/22/2015,C,,ER,Q3 2015,,,,,,,,,,,1.023,,,Q3 2015 Earnings Release,,,,,,,,,
Dow Chemical Co/The,DOW US,10/22/2015,C,,ER,Q3 2015,,,,,,,,,,,0.659,,,Q3 2015 Earnings Release,http://www.dow.com/investors/events/,,,,,,,,
EQT Corp,EQT US,10/22/2015,C,,ER,Q3 2015,,,,,,,,,,,0.152,,,Q3 2015 Earnings Release,,,,,,,,,
3M Co,MMM US,10/22/2015,T,,ER,Q3 2015,,,,,,,,,,,2.126,,,Q3 2015 Earnings Release,,,,,,,,,
Simon Property Group Inc,SPG US,10/23/2015,C,,ER,Q3 2015,,,,,,,,,,,2.445,,,Q3 2015 Earnings Release,,,,,,,,,
Aflac Inc,AFL US,10/27/2015,C,,ER,Q3 2015,,,,,,,,,,,1.49,,,Q3 2015 Earnings Release,,,,,,,,,
EI du Pont de Nemours & Co,DD US,10/27/2015,T,,ER,Q3 2015,,,,,,,,,,,0.543,,,Q3 2015 Earnings Release,,,,,,,,,
Ford Motor Co,F US,10/27/2015,C,,ER,Q3 2015,,,,,,,,,,,0.471,,,Q3 2015 Earnings Release,,,,,,,,,
United Parcel Service Inc,UPS US,10/27/2015,C,,ER,Q3 2015,,,,,,,,,,,1.379,,,Q3 2015 Earnings Release,,,,,,,,,
Praxair Inc,PX US,10/28/2015,C,Bef-mkt,ER,Q3 2015,,,,,,,,,,,1.581,,,Q3 2015 Earnings Release,http://www.praxair.com/calendar/content/body/calendar/2015/october/28/third-quarter-earnings-teleconference,,,,,,,,
Norfolk Southern Corp,NSC US,10/28/2015,C,8:45,ER,Q3 2015,,,,,,,,,,,1.61,,,Q3 2015 Earnings Release,http://www.nscorp.com/content/nscorp/en/get-to-know-norfolk-southern/investor-relations/events.html,,,,,,,,
Realty Income Corp,O US,10/28/2015,C,16:00,ER,Q3 2015,,,,,,,,,,,0.682,,,Q3 2015 Earnings Release,,,,,,,,,
F5 Networks Inc,FFIV US,10/28/2015,C,16:00,ER,Q4 2015,,,,,,,,,,,1.713,,,Q4 2015 Earnings Release,,,,,,,,,
Varian Medical Systems Inc,VAR US,10/28/2015,C,Aft-mkt,ER,Q4 2015,,,,,,,,,,,1.21,,,Q4 2015 Earnings Release,,,,,,,,,
International Paper Co,IP US,10/28/2015,C,,ER,Q3 2015,,,,,,,,,,,1.102,,,Q3 2015 Earnings Release,,,,,,,,,
Anthem Inc,ANTM US,10/28/2015,C,,ER,Q3 2015,,,,,,,,,,,2.407,,,Q3 2015 Earnings Release,,,,,,,,,
Leggett & Platt Inc,LEG US,10/29/2015,C,,ER,Q3 2015,,,,,,,,,,,0.545,,,Q3 2015 Earnings Release,,,,,,,,,
Aetna Inc,AET US,10/29/2015,C,,ER,Q3 2015,,,,,,,,,,,1.821,,,Q3 2015 Earnings Release,,,,,,,,,
Vornado Realty Trust,VNO US,11/2/2015,C,Aft-mkt,ER,Q3 2015,,,,,,,,,,,1.255,,,Q3 2015 Earnings Release,,,,,,,,,
Estee Lauder Cos Inc/The,EL US,11/2/2015,C,,ER,Q1 2016,,,,,,,,,,,0.822,,,Q1 2016 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=109458&p=irol-EventDetails&EventId=5187211,,,,,,,,
ONEOK Inc,OKE US,11/3/2015,C,Aft-mkt,ER,Q3 2015,,,,,,,,,,,0.381,,,Q3 2015 Earnings Release,,,,,,,,,
Archer-Daniels-Midland Co,ADM US,11/3/2015,C,,ER,Q3 2015,,,,,,,,,,,0.81,,,Q3 2015 Earnings Release,,,,,,,,,
Expeditors International of Washington Inc,EXPD US,11/3/2015,C,,ER,Q3 2015,,,,,,,,,,,0.577,,,Q3 2015 Earnings Release,,,,,,,,,
QUALCOMM Inc,QCOM US,11/4/2015,C,,ER,Q4 2015,,,,,,,,,,,1.081,,,Q4 2015 Earnings Release,,,,,,,,,
Prudential Financial Inc,PRU US,11/4/2015,C,,ER,Q3 2015,,,,,,,,,,,2.483,,,Q3 2015 Earnings Release,http://www.investor.prudential.com/phoenix.zhtml?c=129695&p=irol-EventDetails&EventId=5163648,,,,,,,,
Molson Coors Brewing Co,TAP US,11/5/2015,C,7:30,ER,Q3 2015,,,,,,,,,,,1.398,,,Q3 2015 Earnings Release,,,,,,,,,
Humana Inc,HUM US,11/6/2015,C,6:00,ER,Q3 2015,,,,,,,,,,,2.292,,,Q3 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=92913&p=irol-EventDetails&EventId=5176406,,,,,,,,
Cigna Corp,CI US,11/6/2015,C,6:30,ER,Q3 2015,,,,,,,,,,,2.26,,,Q3 2015 Earnings Release,,,,,,,,,
Macy's Inc,M US,11/11/2015,C,,ER,Q3 2016,,,,,,,,,,,0.668,,,Q3 2016 Earnings Release,,,,,,,,,
Applied Materials Inc,AMAT US,11/12/2015,C,Aft-mkt,ER,Q4 2015,,,,,,,,,,,0.334,,,Q4 2015 Earnings Release,,,,,,,,,
Kohl's Corp,KSS US,11/12/2015,C,,ER,Q3 2016,,,,,,,,,,,0.797,,,Q3 2016 Earnings Release,,,,,,,,,
Nordstrom Inc,JWN US,11/12/2015,C,,ER,Q3 2016,,,,,,,,,,,0.737,,,Q3 2016 Earnings Release,,,,,,,,,
Home Depot Inc/The,HD US,11/17/2015,C,,ER,Q3 2016,,,,,,,,,,,1.296,,,Q3 2016 Earnings Release,,,,,,,,,
TJX Cos Inc/The,TJX US,11/17/2015,C,,ER,Q3 2016,,,,,,,,,,,0.887,,,Q3 2016 Earnings Release,,,,,,,,,
Wal-Mart Stores Inc,WMT US,11/17/2015,C,,ER,Q3 2016,,,,,,,,,,,1.085,,,Q3 2016 Earnings Release,,,,,,,,,
Lowe's Cos Inc,LOW US,11/18/2015,C,Bef-mkt,ER,Q3 2016,,,,,,,,,,,0.76,,,Q3 2016 Earnings Release,,,,,,,,,
L Brands Inc,LB US,11/18/2015,C,,ER,Q3 2016,866-363-4673,,855-859-2056,33156271,973-200-3978,,404-537-3406,33156271,,,0.481,,,Q3 2016 Earnings Release,,,,,,,,,
Staples Inc,SPLS US,11/18/2015,C,,ER,Q3 2016,,,,,,,,,,,0.361,,,Q3 2016 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=96244&p=irol-EventDetails&EventId=5188273,,,,,,,,
NetApp Inc,NTAP US,11/18/2015,C,,ER,Q2 2016,,,,,,,,,,,0.471,,,Q2 2016 Earnings Release,,,,,,,,,
Ross Stores Inc,ROST US,11/19/2015,C,,ER,Q3 2016,,,,,,,,,,,0.487,,,Q3 2016 Earnings Release,,,,,,,,,
Campbell Soup Co,CPB US,11/24/2015,C,,ER,Q1 2016,,,,,,,,,,,0.756,,,Q1 2016 Earnings Release,http://investor.campbellsoupcompany.com/phoenix.zhtml?c=88650&p=irol-EventDetails&EventId=5189792,,,,,,,,
Deere & Co,DE US,11/25/2015,C,Bef-mkt,ER,Q4 2015,,,,,,,,,,,1.121,,,Q4 2015 Earnings Release,,,,,,,,,
Kroger Co/The,KR US,12/3/2015,C,,ER,Q3 2016,,,,,,,,,,,0.769,,,Q3 2016 Earnings Release,,,,,,,,,
Costco Wholesale Corp,COST US,12/9/2015,C,,ER,Q1 2016,,,,,,,,,,,1.155,,,Q1 2016 Earnings Release,,,,,,,,,
Adobe Systems Inc,ADBE US,12/10/2015,C,,ER,Q4 2015,,,,,,,,,,,0.643,,,Q4 2015 Earnings Release,,,,,,,,,
FedEx Corp,FDX US,12/16/2015,C,7:30,ER,Q2 2016,,,,,,,,,,,2.573,,,Q2 2016 Earnings Release,http://ir.fedex.com/news-and-events/upcoming-events/event-details/2015/FedEx-Q2-FY16-Earnings-Call/default.aspx,,,,,,,,
Alcoa Inc,AA US,1/11/2016,C,Aft-mkt,ER,Q4 2015,,,,,,,,,,,0.204,,,Q4 2015 Earnings Release,,,,,,,,,
JB Hunt Transport Services Inc,JBHT US,1/21/2016,C,,ER,Q4 2015,,,,,,,,,,,1.014,,,Q4 2015 Earnings Release,,,,,,,,,
Kimberly-Clark Corp,KMB US,1/25/2016,C,Bef-mkt,ER,Q4 2015,,,,,,,,,,,1.441,,,Q4 2015 Earnings Release,http://investor.kimberly-clark.com/index.cfm,,,,,,,,
WW Grainger Inc,GWW US,1/26/2016,C,7:30,ER,Q4 2015,,,,,,,,,,,2.916,,,Q4 2015 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=76754&p=irol-EventDetails&EventId=5178625,,,,,,,,
ACE Ltd,ACE US,1/26/2016,C,Aft-mkt,ER,Q4 2015,,,,,,,,,,,2.3,,,Q4 2015 Earnings Release,,,,,,,,,
EI du Pont de Nemours & Co,DD US,1/26/2016,T,,ER,Q4 2015,,,,,,,,,,,0.691,,,Q4 2015 Earnings Release,,,,,,,,,
Tractor Supply Co,TSCO US,1/27/2016,C,Aft-mkt,ER,Q4 2015,,,,,,,,,,,0.911,,,Q4 2015 Earnings Release,,,,,,,,,
Anthem Inc,ANTM US,1/27/2016,C,,ER,Q4 2015,,,,,,,,,,,1.801,,,Q4 2015 Earnings Release,,,,,,,,,
Eli Lilly & Co,LLY US,1/28/2016,C,,ER,Q4 2015,,,,,,,,,,,0.799,,,Q4 2015 Earnings Release,https://investor.lilly.com/eventdetail.cfm?eventid=162109,,,,,,,,
Simon Property Group Inc,SPG US,1/29/2016,C,,ER,Q4 2015,,,,,,,,,,,2.698,,,Q4 2015 Earnings Release,,,,,,,,,
Yum! Brands Inc,YUM US,2/3/2016,C,,ER,Q4 2015,,,,,,,,,,,0.966,,,Q4 2015 Earnings Release,,,,,,,,,
Cigna Corp,CI US,2/4/2016,C,6:30,ER,Q4 2015,,,,,,,,,,,2.069,,,Q4 2015 Earnings Release,,,,,,,,,
Estee Lauder Cos Inc/The,EL US,2/5/2016,C,,ER,Q2 2016,,,,,,,,,,,1.232,,,Q2 2016 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=109458&p=irol-EventDetails&EventId=5187213,,,,,,,,
Prudential Financial Inc,PRU US,2/10/2016,C,,ER,Q4 2015,,,,,,,,,,,2.425,,,Q4 2015 Earnings Release,http://www.investor.prudential.com/phoenix.zhtml?c=129695&p=irol-EventDetails&EventId=5179189,,,,,,,,
NetApp Inc,NTAP US,2/17/2016,C,,ER,Q3 2016,,,,,,,,,,,0.666,,,Q3 2016 Earnings Release,,,,,,,,,
Wal-Mart Stores Inc,WMT US,2/18/2016,C,8:30,ER,Q4 2016,,,,,,,,,,,1.528,,,Q4 2016 Earnings Release,,,,,,,,,
Nordstrom Inc,JWN US,2/18/2016,C,,ER,Q4 2016,,,,,,,,,,,1.468,,,Q4 2016 Earnings Release,,,,,,,,,
ONEOK Inc,OKE US,2/22/2016,C,Aft-mkt,ER,Q4 2015,,,,,,,,,,,0.408,,,Q4 2015 Earnings Release,,,,,,,,,
Macy's Inc,M US,2/23/2016,C,,ER,Q4 2016,,,,,,,,,,,2.707,,,Q4 2016 Earnings Release,,,,,,,,,
Home Depot Inc/The,HD US,2/23/2016,C,,ER,Q4 2016,,,,,,,,,,,1.088,,,Q4 2016 Earnings Release,,,,,,,,,
L Brands Inc,LB US,2/24/2016,C,,ER,Q4 2016,866-363-4673,,855-859-2056,33156271,973-200-3978,,404-537-3406,33156271,,,1.984,,,Q4 2016 Earnings Release,,,,,,,,,
TJX Cos Inc/The,TJX US,2/24/2016,C,,ER,Q4 2016,,,,,,,,,,,0.974,,,Q4 2016 Earnings Release,,,,,,,,,
Campbell Soup Co,CPB US,2/25/2016,C,,ER,Q2 2016,,,,,,,,,,,0.677,,,Q2 2016 Earnings Release,http://investor.campbellsoupcompany.com/phoenix.zhtml?c=88650&p=irol-EventDetails&EventId=5189794,,,,,,,,
Kohl's Corp,KSS US,2/25/2016,C,,ER,Q4 2016,,,,,,,,,,,1.957,,,Q4 2016 Earnings Release,,,,,,,,,
Kroger Co/The,KR US,3/3/2016,C,,ER,Q4 2016,,,,,,,,,,,1.068,,,Q4 2016 Earnings Release,,,,,,,,,
Eli Lilly & Co,LLY US,4/26/2016,C,,ER,Q1 2016,,,,,,,,,,,0.823,,,Q1 2016 Earnings Release,https://investor.lilly.com/eventdetail.cfm?eventid=162110,,,,,,,,
Estee Lauder Cos Inc/The,EL US,5/3/2016,C,,ER,Q3 2016,,,,,,,,,,,0.758,,,Q3 2016 Earnings Release,http://phx.corporate-ir.net/phoenix.zhtml?c=109458&p=irol-EventDetails&EventId=5187215,,,,,,,,
Prudential Financial Inc,PRU US,5/4/2016,C,,ER,Q1 2016,,,,,,,,,,,2.561,,,Q1 2016 Earnings Release,http://www.investor.prudential.com/phoenix.zhtml?c=129695&p=irol-EventDetails&EventId=5179191,,,,,,,,
Campbell Soup Co,CPB US,5/20/2016,C,,ER,Q3 2016,,,,,,,,,,,0.621,,,Q3 2016 Earnings Release,http://investor.campbellsoupcompany.com/phoenix.zhtml?c=88650&p=irol-EventDetails&EventId=5189796,,,,,,,,
NetApp Inc,NTAP US,5/24/2016,C,,ER,Q4 2016,,,,,,,,,,,0.784,,,Q4 2016 Earnings Release,,,,,,,,,
Total Events,588,Total Confirmed,368,Total Estimated,213,,,,,,,,,,,,,,,,,,,,,,,,
